instance_id,group,n,k,d,d_ub_known,seconds,cost_step,status,A_poly,B_poly
5bcb7578bcddcc84,Z7xZ12,168,6,16,20,624.14,1,ok,y + x + x^3,x*y^4 + x^2*y^8 + x^4*y^9
61083fb6ba0c98db,Z6xZ14,168,6,4,24,0.04,1,ok,y^2 + y^3 + x,x^2*y^5 + x^4*y^7 + x^4*y^8
6488935f4989d669,Z6xZ14,168,6,8,24,0.33,1,ok,y^2 + y^3 + x^2,y^2 + x^2 + x^5*y^3
68c7206f63baedaf,Z7xZ12,168,6,14,28,19.67,1,ok,y^6 + x*y + x^3,y^2 + x*y^8 + x^3*y
70a3e1fc381efbc1,Z6xZ14,168,6,8,18,1.14,1,ok,1 + y + y^3,y^4 + y^12 + x
75c9c91cebe53742,Z7xZ12,168,6,12,22,7.83,1,ok,y^3 + x*y + x^3,x^2*y^9 + x^3 + x^5*y^7
7e5505f94e66f75f,Z6xZ14,168,6,8,24,0.71,1,ok,y^2 + y^3 + x,y^9 + x^2*y^5 + x^3*y^4
8517d70dfbef7096,Z6xZ14,168,6,12,24,4.67,1,ok,y^2 + y^3 + x,y^10 + x^3*y^13 + x^5*y^5
89083dc67a5f0663,Z6xZ14,168,6,12,24,7.76,1,ok,y^2 + y^3 + x^2,y^8 + x^3*y^12 + x^5
8dfedf6a56b5324d,Z6xZ14,168,6,8,24,0.47,1,ok,y^2 + y^3 + x,x^3*y^4 + x^3*y^9 + x^5*y^5
283503b1f5626eb3,Z6xZ14,168,4,12,28,8.37,1,ok,y + x + x^2,y^11 + x*y^11 + x^5*y^7
2b13bcd5864a21de,Z7xZ12,168,4,12,32,5.71,1,ok,y^5 + x*y + x^2,1 + x*y^11 + x^5*y^10
2ec8ec42d451daef,Z7xZ12,168,4,14,20,20.91,1,ok,y^5 + y^7 + x,1 + x^4*y^4 + x^6*y^2
3268642a4dbfc46b,Z6xZ14,168,4,12,30,5.58,1,ok,y + x + x^2,1 + x*y^4 + x^2*y^13
35f9444cfa9c3e2a,Z7xZ12,168,4,14,34,23.43,1,ok,y^4 + y^5 + x,x*y^11 + x^5*y + x^6*y^6
39ad412ed2e39e94,Z7xZ12,168,4,6,20,0.13,1,ok,y + y^5 + x,1 + x*y^7 + x^2*y^2
3ce2acc9a291ac35,Z7xZ12,168,4,10,28,1.55,1,ok,y + y^5 + x,y^3 + x^2*y^5 + x^5*y^7
3fa1386c25776c0c,Z6xZ14,168,4,12,20,6.82,1,ok,y^9 + x*y + x^2,x*y^13 + x^3*y^11 + x^5
449ece012ceec8b3,Z7xZ12,168,4,14,30,22.34,1,ok,y + y^2 + x,x*y^6 + x^3*y^4 + x^4*y^11
472e041876e2e81b,Z6xZ14,168,4,14,20,17.93,1,ok,y + x + x^2,y^3 + x*y^5 + x^2*y^9
4a0df99287449f86,Z6xZ14,168,4,14,24,43.93,1,ok,1 + x*y + x^2,y^13 + x^2*y^3 + x^4
4c329d30c9331b3a,Z7xZ12,168,4,16,36,873.1,1,ok,y^8 + x*y + x^2,x^3*y^2 + x^4 + x^5*y^7
4fd941e05ca01868,Z6xZ14,168,4,12,28,17.23,1,ok,y^2 + x + x^2,y^10 + x^2*y^9 + x^4*y^11
